k,silhouette_cosine,inertia
2,0.010034921177670951,3750.7652613043947
3,0.009663240539507035,3734.1172600737104
4,0.015374316048195238,3708.5214205221096
5,0.017813270661098033,3694.5924323522017
6,0.017290749194783087,3684.285910773844
7,0.018503597379789908,3675.1760610363044
8,0.018674270433233782,3669.264538176424
9,0.019013500123045497,3663.646636169386
10,0.01832290966322163,3658.4750024021423
